iter	Passed	Remaining
0	61	2379
1	67	1284
2	74	918
3	90	816
4	96	674
5	101	575
6	106	504
7	112	449
8	117	406
9	125	377
10	139	368
11	146	340
12	153	317
13	158	294
14	164	274
15	171	256
16	186	252
17	191	234
18	197	217
19	202	202
20	208	188
21	213	174
22	222	164
23	233	155
24	238	143
25	243	131
26	249	120
27	255	109
28	261	99
29	276	92
30	284	82
31	290	72
32	296	62
33	303	53
34	309	44
35	330	36
36	336	27
37	343	18
38	349	8
39	357	0
