,Date,Close,Volume
0,733952,4.7779998779296875,93831500
1,733953,4.765999794006348,85935500
2,733954,4.392000198364258,41094000
3,733955,3.8399999141693115,25699000
4,733959,3.2219998836517334,34334500
5,733960,3.1600000858306885,34608500
6,733961,3.492000102996826,38557000
7,733962,3.4800000190734863,20253000
8,733965,3.4100000858306885,11012500
9,733966,3.628000020980835,13400500
10,733967,3.9679999351501465,20976000
11,733968,3.9779999256134033,18699000
12,733969,4.127999782562256,13106500
13,733972,4.381999969482422,12432500
14,733973,4.059999942779541,9126500
15,733974,4.044000148773193,6262500
16,733975,4.199999809265137,4789000
17,733976,4.257999897003174,3268000
18,733979,4.190000057220459,4611000
19,733980,4.110000133514404,3098500
20,733981,4.144000053405762,2336000
21,733982,4.070000171661377,3080000
22,733983,3.98799991607666,2134500
23,733986,4.184000015258789,3590500
24,733987,4.389999866485596,6152500
25,733988,4.251999855041504,4565000
26,733989,4.090000152587891,3981000
27,733990,3.9179999828338623,3709500
28,733993,3.9200000762939453,4063500
29,733994,3.805999994277954,6406500
30,733995,3.5799999237060547,3988000
31,733996,3.5199999809265137,3455000
32,733997,3.6640000343322754,3170000
33,734000,3.75600004196167,2429000
34,734001,3.8299999237060547,2239500
35,734002,3.753999948501587,3006500
36,734003,3.757999897003174,2895500
37,734004,3.819999933242798,1480000
38,734007,4.026000022888184,5440500
39,734008,3.8399999141693115,3365500
40,734009,3.9800000190734863,2516500
41,734010,3.950000047683716,2169000
42,734011,3.940000057220459,1898000
43,734014,3.9739999771118164,3664000
44,734015,3.8959999084472656,1005500
45,734016,4.090000152587891,2474500
46,734017,4.211999893188477,2435500
47,734018,4.210000038146973,2173000
48,734022,4.107999801635742,1217000
49,734023,4.179999828338623,1442000
50,734024,4.142000198364258,1881000
51,734025,4.033999919891357,1933000
52,734028,4.144000053405762,1804000
53,734029,4.223999977111816,3273500
54,734030,4.395999908447266,3423000
55,734031,4.188000202178955,13422500
56,734032,4.046000003814697,5992500
57,734035,4.211999893188477,4737500
58,734036,4.1539998054504395,3980000
59,734037,3.9739999771118164,4814500
60,734038,3.9119999408721924,3340500
61,734039,4.019999980926514,2894500
62,734042,4.105999946594238,2093000
63,734043,4.28000020980835,6072500
64,734044,4.395999908447266,9846500
65,734045,4.081999778747559,10979000
66,734046,4.119999885559082,2988500
67,734049,4.197999954223633,3218000
68,734050,4.223999977111816,1660000
69,734051,4.0920000076293945,1567000
70,734052,4.085999965667725,705000
71,734053,4.085999965667725,1339000
72,734056,4.047999858856201,856000
73,734057,4.047999858856201,1220000
74,734058,4.107999801635742,1591000
75,734059,4.150000095367432,1474000
76,734060,4.107999801635742,1423500
77,734063,4.046000003814697,814000
78,734064,4.010000228881836,1226000
79,734065,4.130000114440918,1562500
80,734066,4.150000095367432,2085500
81,734067,4.144000053405762,805500
82,734070,4.170000076293945,592500
83,734071,4.271999835968018,3304500
84,734072,4.199999809265137,1782500
85,734073,4.23799991607666,1121000
86,734074,4.368000030517578,1403000
87,734077,4.2820000648498535,2279000
88,734078,4.25,1612500
89,734079,4.354000091552734,1863000
90,734080,4.980000019073486,9370000
91,734081,4.888000011444092,5055000
92,734084,4.995999813079834,2547500
93,734085,4.926000118255615,4782000
94,734086,5.872000217437744,15302500
95,734087,5.607999801635742,9726500
96,734088,5.9679999351501465,13645500
97,734091,6.159999847412109,13114500
98,734092,5.934000015258789,6738000
99,734093,5.8979997634887695,3750000
100,734094,5.978000164031982,4780500
101,734095,6.197999954223633,5752500
102,734098,6.679999828338623,7648500
103,734099,6.914000034332275,7889000
104,734100,7.093999862670898,7125000
105,734102,7.064000129699707,1753000
106,734105,6.866000175476074,5728000
107,734106,7.065999984741211,11113000
108,734107,6.869999885559082,6496000
